tipo;tabela;nome;display_folder;detalhe1;detalhe2;descricao
MEDIDA;_medidas;Qtde Boletos;01 - Indicadores Gerais;SUM(f_indicadores_cobranca[QtdeBoletosEmitidos]);;
MEDIDA;_medidas;Valor Total Emitido;01 - Indicadores Gerais;SUM(f_indicadores_cobranca[ValorTotalEmitido]);;
MEDIDA;_medidas;Valor Médio Boleto (base);01 - Indicadores Gerais; DIVIDE( [Valor Total Emitido], [Qtde Boletos] );;
MEDIDA;_medidas;Taxa Pago no Vencimento (pond);02 - Pagamento e Atraso; DIVIDE(     SUMX(f_indicadores_cobranca, f_indicadores_cobranca[TaxaPagoNoVencimento] * f_indicadores_cobranca[QtdeBoletosEmitidos]),     [Qtde Boletos] );;
MEDIDA;_medidas;Média Dias Após Vencimento (pond);02 - Pagamento e Atraso; DIVIDE(     SUMX(f_indicadores_cobranca, f_indicadores_cobranca[MediaDiasAposVencimento] * f_indicadores_cobranca[QtdeBoletosEmitidos]),     [Qtde Boletos] );;
MEDIDA;_medidas;Qtde Registros Parcelas;03 - Parcelamentos;SUM(f_parcelamentos[Qtde]);;
MEDIDA;_medidas;Média Parcelas (pond);03 - Parcelamentos; DIVIDE(     SUMX(f_parcelamentos, f_parcelamentos[QtdeParcelas] * f_parcelamentos[Qtde]),     [Qtde Registros Parcelas] );;
MEDIDA;_medidas;Max Parcelas (global);03 - Parcelamentos; MAXX( ALL(f_parcelamentos[QtdeParcelas]), f_parcelamentos[QtdeParcelas] );;
MEDIDA;_medidas;Dias Atraso (derivado por faixas);02 - Pagamento e Atraso; VAR MesesSel =     VALUES ( d_calendario[Date] ) VAR AtrasoFiltrado =     CALCULATETABLE (         f_atraso_boletos,         TREATAS ( MesesSel, f_atraso_boletos[MesRef] )     ) VAR AtrasoComMid =     ADDCOLUMNS (         AtrasoFiltrado,         "MidDias",             LOOKUPVALUE (                 d_faixa_atraso[MidDias],                 d_faixa_atraso[FaixaAtraso], f_atraso_boletos[FaixaAtraso]             )     ) RETURN DIVIDE (     SUMX ( AtrasoComMid, [MidDias] * f_atraso_boletos[Qtde] ),     SUMX ( AtrasoComMid, f_atraso_boletos[Qtde] ) );;
MEDIDA;_medidas;Valor Médio Boleto (global max);01 - Indicadores Gerais; MAXX( ALL(f_indicadores_cobranca[ValorMedioBoleto]), f_indicadores_cobranca[ValorMedioBoleto] );;
